term,language,sightings,offensiveness,source,label,source_url,filter_group,filter_name,target_category,showing_range,coverage_note,text
scags (plural of scag),English,264 sightings,-,hatebase,hate,https://hatebase.org/search_results/gender_id%3D6%7Clanguage_id%3Deng,gender,female,Female,Showing 1 - 50 of 64 results,selected_english_filters,[hate] scags (plural of scag): Hatebase entry. Target category: Female. Filter group: gender. Language: English. Offensiveness: -. Sightings: 264 sightings.
skag (variant of scag),English,-,Moderately offensive,hatebase,hate,https://hatebase.org/search_results/gender_id%3D6%7Clanguage_id%3Deng,gender,female,Female,Showing 1 - 50 of 64 results,selected_english_filters,[hate] skag (variant of scag): Hatebase entry. Target category: Female. Filter group: gender. Language: English. Offensiveness: Moderately offensive. Sightings: -.
skags (plural of skag),English,-,Moderately offensive,hatebase,hate,https://hatebase.org/search_results/gender_id%3D6%7Clanguage_id%3Deng,gender,female,Female,Showing 1 - 50 of 64 results,selected_english_filters,[hate] skags (plural of skag): Hatebase entry. Target category: Female. Filter group: gender. Language: English. Offensiveness: Moderately offensive. Sightings: -.
gender nigger,English,6 sightings,Extremely offensive,hatebase,hate,https://hatebase.org/search_results/gender_id%3D14%7Clanguage_id%3Deng,gender,transgender,Transgender,Showing 1 - 2 of 2 results,selected_english_filters,[hate] gender nigger: Hatebase entry. Target category: Transgender. Filter group: gender. Language: English. Offensiveness: Extremely offensive. Sightings: 6 sightings.
trannies (plural of tranny),English,"3,073 sightings",Highly offensive,hatebase,hate,https://hatebase.org/search_results/gender_id%3D14%7Clanguage_id%3Deng,gender,transgender,Transgender,Showing 1 - 2 of 2 results,selected_english_filters,"[hate] trannies (plural of tranny): Hatebase entry. Target category: Transgender. Filter group: gender. Language: English. Offensiveness: Highly offensive. Sightings: 3,073 sightings."
banislam,English,-,-,hatebase,hate,https://hatebase.org/search_results/religion_id%3D11%7Clanguage_id%3Deng,religion,islam,Islam,Showing 1 - 50 of 67 results,selected_english_filters,[hate] banislam: Hatebase entry. Target category: Islam. Filter group: religion. Language: English. Offensiveness: -. Sightings: -.
Bengali,English,-,Mildly offensive,hatebase,hate,https://hatebase.org/search_results/religion_id%3D11%7Clanguage_id%3Deng,religion,islam,Islam,Showing 1 - 50 of 67 results,selected_english_filters,[hate] Bengali: Hatebase entry. Target category: Islam. Filter group: religion. Language: English. Offensiveness: Mildly offensive. Sightings: -.
Bengalis (plural of Bengali),English,-,Mildly offensive,hatebase,hate,https://hatebase.org/search_results/religion_id%3D11%7Clanguage_id%3Deng,religion,islam,Islam,Showing 1 - 50 of 67 results,selected_english_filters,[hate] Bengalis (plural of Bengali): Hatebase entry. Target category: Islam. Filter group: religion. Language: English. Offensiveness: Mildly offensive. Sightings: -.
camel fucker,English,"1,206 sightings",Extremely offensive,hatebase,hate,https://hatebase.org/search_results/religion_id%3D11%7Clanguage_id%3Deng,religion,islam,Islam,Showing 1 - 50 of 67 results,selected_english_filters,"[hate] camel fucker: Hatebase entry. Target category: Islam. Filter group: religion. Language: English. Offensiveness: Extremely offensive. Sightings: 1,206 sightings."
camel fuckers (plural of camel fucker),English,459 sightings,Extremely offensive,hatebase,hate,https://hatebase.org/search_results/religion_id%3D11%7Clanguage_id%3Deng,religion,islam,Islam,Showing 1 - 50 of 67 results,selected_english_filters,[hate] camel fuckers (plural of camel fucker): Hatebase entry. Target category: Islam. Filter group: religion. Language: English. Offensiveness: Extremely offensive. Sightings: 459 sightings.
Chuslim,English,211 sightings,Extremely offensive,hatebase,hate,https://hatebase.org/search_results/religion_id%3D11%7Clanguage_id%3Deng,religion,islam,Islam,Showing 1 - 50 of 67 results,selected_english_filters,[hate] Chuslim: Hatebase entry. Target category: Islam. Filter group: religion. Language: English. Offensiveness: Extremely offensive. Sightings: 211 sightings.
CoronaJihad,English,42 sightings,Extremely offensive,hatebase,hate,https://hatebase.org/search_results/religion_id%3D11%7Clanguage_id%3Deng,religion,islam,Islam,Showing 1 - 50 of 67 results,selected_english_filters,[hate] CoronaJihad: Hatebase entry. Target category: Islam. Filter group: religion. Language: English. Offensiveness: Extremely offensive. Sightings: 42 sightings.
Covid786,English,-,Extremely offensive,hatebase,hate,https://hatebase.org/search_results/religion_id%3D11%7Clanguage_id%3Deng,religion,islam,Islam,Showing 1 - 50 of 67 results,selected_english_filters,[hate] Covid786: Hatebase entry. Target category: Islam. Filter group: religion. Language: English. Offensiveness: Extremely offensive. Sightings: -.
dhimmi,English,"1,603 sightings",Extremely offensive,hatebase,hate,https://hatebase.org/search_results/religion_id%3D11%7Clanguage_id%3Deng,religion,islam,Islam,Showing 1 - 50 of 67 results,selected_english_filters,"[hate] dhimmi: Hatebase entry. Target category: Islam. Filter group: religion. Language: English. Offensiveness: Extremely offensive. Sightings: 1,603 sightings."
Gerudo,English,-,Extremely offensive,hatebase,hate,https://hatebase.org/search_results/religion_id%3D11%7Clanguage_id%3Deng,religion,islam,Islam,Showing 1 - 50 of 67 results,selected_english_filters,[hate] Gerudo: Hatebase entry. Target category: Islam. Filter group: religion. Language: English. Offensiveness: Extremely offensive. Sightings: -.
Gerudos (plural of Gerudo),English,700 sightings,-,hatebase,hate,https://hatebase.org/search_results/religion_id%3D11%7Clanguage_id%3Deng,religion,islam,Islam,Showing 1 - 50 of 67 results,selected_english_filters,[hate] Gerudos (plural of Gerudo): Hatebase entry. Target category: Islam. Filter group: religion. Language: English. Offensiveness: -. Sightings: 700 sightings.
goatfucker,English,-,Extremely offensive,hatebase,hate,https://hatebase.org/search_results/religion_id%3D11%7Clanguage_id%3Deng,religion,islam,Islam,Showing 1 - 50 of 67 results,selected_english_filters,[hate] goatfucker: Hatebase entry. Target category: Islam. Filter group: religion. Language: English. Offensiveness: Extremely offensive. Sightings: -.
halala,English,142 sightings,Extremely offensive,hatebase,hate,https://hatebase.org/search_results/religion_id%3D11%7Clanguage_id%3Deng,religion,islam,Islam,Showing 1 - 50 of 67 results,selected_english_filters,[hate] halala: Hatebase entry. Target category: Islam. Filter group: religion. Language: English. Offensiveness: Extremely offensive. Sightings: 142 sightings.
halalability (variant of halalification),English,-,Extremely offensive,hatebase,hate,https://hatebase.org/search_results/religion_id%3D11%7Clanguage_id%3Deng,religion,islam,Islam,Showing 1 - 50 of 67 results,selected_english_filters,[hate] halalability (variant of halalification): Hatebase entry. Target category: Islam. Filter group: religion. Language: English. Offensiveness: Extremely offensive. Sightings: -.
halalification,English,11 sightings,Extremely offensive,hatebase,hate,https://hatebase.org/search_results/religion_id%3D11%7Clanguage_id%3Deng,religion,islam,Islam,Showing 1 - 50 of 67 results,selected_english_filters,[hate] halalification: Hatebase entry. Target category: Islam. Filter group: religion. Language: English. Offensiveness: Extremely offensive. Sightings: 11 sightings.
hodgie (variant of haji),English,6 sightings,Highly offensive,hatebase,hate,https://hatebase.org/search_results/religion_id%3D11%7Clanguage_id%3Deng,religion,islam,Islam,Showing 1 - 50 of 67 results,selected_english_filters,[hate] hodgie (variant of haji): Hatebase entry. Target category: Islam. Filter group: religion. Language: English. Offensiveness: Highly offensive. Sightings: 6 sightings.
hodgies (plural of hodgie),English,9 sightings,-,hatebase,hate,https://hatebase.org/search_results/religion_id%3D11%7Clanguage_id%3Deng,religion,islam,Islam,Showing 1 - 50 of 67 results,selected_english_filters,[hate] hodgies (plural of hodgie): Hatebase entry. Target category: Islam. Filter group: religion. Language: English. Offensiveness: -. Sightings: 9 sightings.
Jihadi,English,"1,588 sightings",Highly offensive,hatebase,hate,https://hatebase.org/search_results/religion_id%3D11%7Clanguage_id%3Deng,religion,islam,Islam,Showing 1 - 50 of 67 results,selected_english_filters,"[hate] Jihadi: Hatebase entry. Target category: Islam. Filter group: religion. Language: English. Offensiveness: Highly offensive. Sightings: 1,588 sightings."
Jihadis (plural of Jihadi),English,-,Highly offensive,hatebase,hate,https://hatebase.org/search_results/religion_id%3D11%7Clanguage_id%3Deng,religion,islam,Islam,Showing 1 - 50 of 67 results,selected_english_filters,[hate] Jihadis (plural of Jihadi): Hatebase entry. Target category: Islam. Filter group: religion. Language: English. Offensiveness: Highly offensive. Sightings: -.
JihadiVirus,English,7 sightings,Extremely offensive,hatebase,hate,https://hatebase.org/search_results/religion_id%3D11%7Clanguage_id%3Deng,religion,islam,Islam,Showing 1 - 50 of 67 results,selected_english_filters,[hate] JihadiVirus: Hatebase entry. Target category: Islam. Filter group: religion. Language: English. Offensiveness: Extremely offensive. Sightings: 7 sightings.
mudblood,English,-,-,hatebase,hate,https://hatebase.org/search_results/religion_id%3D11%7Clanguage_id%3Deng,religion,islam,Islam,Showing 1 - 50 of 67 results,selected_english_filters,[hate] mudblood: Hatebase entry. Target category: Islam. Filter group: religion. Language: English. Offensiveness: -. Sightings: -.
mudshit (variant of shitskinned),English,-,Extremely offensive,hatebase,hate,https://hatebase.org/search_results/religion_id%3D11%7Clanguage_id%3Deng,religion,islam,Islam,Showing 1 - 50 of 67 results,selected_english_filters,[hate] mudshit (variant of shitskinned): Hatebase entry. Target category: Islam. Filter group: religion. Language: English. Offensiveness: Extremely offensive. Sightings: -.
mudslime,English,-,-,hatebase,hate,https://hatebase.org/search_results/religion_id%3D11%7Clanguage_id%3Deng,religion,islam,Islam,Showing 1 - 50 of 67 results,selected_english_filters,[hate] mudslime: Hatebase entry. Target category: Islam. Filter group: religion. Language: English. Offensiveness: -. Sightings: -.
musla,English,193 sightings,Extremely offensive,hatebase,hate,https://hatebase.org/search_results/religion_id%3D11%7Clanguage_id%3Deng,religion,islam,Islam,Showing 1 - 50 of 67 results,selected_english_filters,[hate] musla: Hatebase entry. Target category: Islam. Filter group: religion. Language: English. Offensiveness: Extremely offensive. Sightings: 193 sightings.
muslamic,English,"1,017 sightings",Highly offensive,hatebase,hate,https://hatebase.org/search_results/religion_id%3D11%7Clanguage_id%3Deng,religion,islam,Islam,Showing 1 - 50 of 67 results,selected_english_filters,"[hate] muslamic: Hatebase entry. Target category: Islam. Filter group: religion. Language: English. Offensiveness: Highly offensive. Sightings: 1,017 sightings."
muslimal,English,15 sightings,Highly offensive,hatebase,hate,https://hatebase.org/search_results/religion_id%3D11%7Clanguage_id%3Deng,religion,islam,Islam,Showing 1 - 50 of 67 results,selected_english_filters,[hate] muslimal: Hatebase entry. Target category: Islam. Filter group: religion. Language: English. Offensiveness: Highly offensive. Sightings: 15 sightings.
mussie,English,288 sightings,-,hatebase,hate,https://hatebase.org/search_results/religion_id%3D11%7Clanguage_id%3Deng,religion,islam,Islam,Showing 1 - 50 of 67 results,selected_english_filters,[hate] mussie: Hatebase entry. Target category: Islam. Filter group: religion. Language: English. Offensiveness: -. Sightings: 288 sightings.
mussies (plural of mussie),English,792 sightings,-,hatebase,hate,https://hatebase.org/search_results/religion_id%3D11%7Clanguage_id%3Deng,religion,islam,Islam,Showing 1 - 50 of 67 results,selected_english_filters,[hate] mussies (plural of mussie): Hatebase entry. Target category: Islam. Filter group: religion. Language: English. Offensiveness: -. Sightings: 792 sightings.
muzrat (variant of muzzrat),English,70 sightings,Extremely offensive,hatebase,hate,https://hatebase.org/search_results/religion_id%3D11%7Clanguage_id%3Deng,religion,islam,Islam,Showing 1 - 50 of 67 results,selected_english_filters,[hate] muzrat (variant of muzzrat): Hatebase entry. Target category: Islam. Filter group: religion. Language: English. Offensiveness: Extremely offensive. Sightings: 70 sightings.
muzrats (plural of muzrat),English,83 sightings,-,hatebase,hate,https://hatebase.org/search_results/religion_id%3D11%7Clanguage_id%3Deng,religion,islam,Islam,Showing 1 - 50 of 67 results,selected_english_filters,[hate] muzrats (plural of muzrat): Hatebase entry. Target category: Islam. Filter group: religion. Language: English. Offensiveness: -. Sightings: 83 sightings.
muzzie,English,"7,070 sightings",Highly offensive,hatebase,hate,https://hatebase.org/search_results/religion_id%3D11%7Clanguage_id%3Deng,religion,islam,Islam,Showing 1 - 50 of 67 results,selected_english_filters,"[hate] muzzie: Hatebase entry. Target category: Islam. Filter group: religion. Language: English. Offensiveness: Highly offensive. Sightings: 7,070 sightings."
muzzies (plural of muzzie),English,"4,098 sightings",-,hatebase,hate,https://hatebase.org/search_results/religion_id%3D11%7Clanguage_id%3Deng,religion,islam,Islam,Showing 1 - 50 of 67 results,selected_english_filters,"[hate] muzzies (plural of muzzie): Hatebase entry. Target category: Islam. Filter group: religion. Language: English. Offensiveness: -. Sightings: 4,098 sightings."
muzzpig,English,1 sighting,Extremely offensive,hatebase,hate,https://hatebase.org/search_results/religion_id%3D11%7Clanguage_id%3Deng,religion,islam,Islam,Showing 1 - 50 of 67 results,selected_english_filters,[hate] muzzpig: Hatebase entry. Target category: Islam. Filter group: religion. Language: English. Offensiveness: Extremely offensive. Sightings: 1 sighting.
muzzpigs (plural of muzzpig),English,-,Mildly offensive,hatebase,hate,https://hatebase.org/search_results/religion_id%3D11%7Clanguage_id%3Deng,religion,islam,Islam,Showing 1 - 50 of 67 results,selected_english_filters,[hate] muzzpigs (plural of muzzpig): Hatebase entry. Target category: Islam. Filter group: religion. Language: English. Offensiveness: Mildly offensive. Sightings: -.
muzzrat,English,304 sightings,Extremely offensive,hatebase,hate,https://hatebase.org/search_results/religion_id%3D11%7Clanguage_id%3Deng,religion,islam,Islam,Showing 1 - 50 of 67 results,selected_english_filters,[hate] muzzrat: Hatebase entry. Target category: Islam. Filter group: religion. Language: English. Offensiveness: Extremely offensive. Sightings: 304 sightings.
muzzrats (plural of muzzrat),English,349 sightings,-,hatebase,hate,https://hatebase.org/search_results/religion_id%3D11%7Clanguage_id%3Deng,religion,islam,Islam,Showing 1 - 50 of 67 results,selected_english_filters,[hate] muzzrats (plural of muzzrat): Hatebase entry. Target category: Islam. Filter group: religion. Language: English. Offensiveness: -. Sightings: 349 sightings.
Christ killer,English,330 sightings,Extremely offensive,hatebase,hate,https://hatebase.org/search_results/religion_id%3D14%7Clanguage_id%3Deng,religion,judaism,Judaism,Showing 1 - 38 of 38 results,selected_english_filters,[hate] Christ killer: Hatebase entry. Target category: Judaism. Filter group: religion. Language: English. Offensiveness: Extremely offensive. Sightings: 330 sightings.
Christ killers (plural of Christ killer),English,558 sightings,-,hatebase,hate,https://hatebase.org/search_results/religion_id%3D14%7Clanguage_id%3Deng,religion,judaism,Judaism,Showing 1 - 38 of 38 results,selected_english_filters,[hate] Christ killers (plural of Christ killer): Hatebase entry. Target category: Judaism. Filter group: religion. Language: English. Offensiveness: -. Sightings: 558 sightings.
four by two,English,2 sightings,Highly offensive,hatebase,hate,https://hatebase.org/search_results/religion_id%3D14%7Clanguage_id%3Deng,religion,judaism,Judaism,Showing 1 - 38 of 38 results,selected_english_filters,[hate] four by two: Hatebase entry. Target category: Judaism. Filter group: religion. Language: English. Offensiveness: Highly offensive. Sightings: 2 sightings.
four by twos (plural of four by two),English,-,-,hatebase,hate,https://hatebase.org/search_results/religion_id%3D14%7Clanguage_id%3Deng,religion,judaism,Judaism,Showing 1 - 38 of 38 results,selected_english_filters,[hate] four by twos (plural of four by two): Hatebase entry. Target category: Judaism. Filter group: religion. Language: English. Offensiveness: -. Sightings: -.
gew,English,-,Extremely offensive,hatebase,hate,https://hatebase.org/search_results/religion_id%3D14%7Clanguage_id%3Deng,religion,judaism,Judaism,Showing 1 - 38 of 38 results,selected_english_filters,[hate] gew: Hatebase entry. Target category: Judaism. Filter group: religion. Language: English. Offensiveness: Extremely offensive. Sightings: -.
gews (plural of gew),English,205 sightings,-,hatebase,hate,https://hatebase.org/search_results/religion_id%3D14%7Clanguage_id%3Deng,religion,judaism,Judaism,Showing 1 - 38 of 38 results,selected_english_filters,[hate] gews (plural of gew): Hatebase entry. Target category: Judaism. Filter group: religion. Language: English. Offensiveness: -. Sightings: 205 sightings.
globalist,English,-,Extremely offensive,hatebase,hate,https://hatebase.org/search_results/religion_id%3D14%7Clanguage_id%3Deng,religion,judaism,Judaism,Showing 1 - 38 of 38 results,selected_english_filters,[hate] globalist: Hatebase entry. Target category: Judaism. Filter group: religion. Language: English. Offensiveness: Extremely offensive. Sightings: -.
globalists (plural of globalist),English,522 sightings,-,hatebase,hate,https://hatebase.org/search_results/religion_id%3D14%7Clanguage_id%3Deng,religion,judaism,Judaism,Showing 1 - 38 of 38 results,selected_english_filters,[hate] globalists (plural of globalist): Hatebase entry. Target category: Judaism. Filter group: religion. Language: English. Offensiveness: -. Sightings: 522 sightings.
hebe,English,71 sightings,Extremely offensive,hatebase,hate,https://hatebase.org/search_results/religion_id%3D14%7Clanguage_id%3Deng,religion,judaism,Judaism,Showing 1 - 38 of 38 results,selected_english_filters,[hate] hebe: Hatebase entry. Target category: Judaism. Filter group: religion. Language: English. Offensiveness: Extremely offensive. Sightings: 71 sightings.
hebes (plural of hebe),English,129 sightings,-,hatebase,hate,https://hatebase.org/search_results/religion_id%3D14%7Clanguage_id%3Deng,religion,judaism,Judaism,Showing 1 - 38 of 38 results,selected_english_filters,[hate] hebes (plural of hebe): Hatebase entry. Target category: Judaism. Filter group: religion. Language: English. Offensiveness: -. Sightings: 129 sightings.
hebro,English,243 sightings,Extremely offensive,hatebase,hate,https://hatebase.org/search_results/religion_id%3D14%7Clanguage_id%3Deng,religion,judaism,Judaism,Showing 1 - 38 of 38 results,selected_english_filters,[hate] hebro: Hatebase entry. Target category: Judaism. Filter group: religion. Language: English. Offensiveness: Extremely offensive. Sightings: 243 sightings.
hebros (plural of hebro),English,104 sightings,Extremely offensive,hatebase,hate,https://hatebase.org/search_results/religion_id%3D14%7Clanguage_id%3Deng,religion,judaism,Judaism,Showing 1 - 38 of 38 results,selected_english_filters,[hate] hebros (plural of hebro): Hatebase entry. Target category: Judaism. Filter group: religion. Language: English. Offensiveness: Extremely offensive. Sightings: 104 sightings.
heeb (variant of hebe),English,452 sightings,Highly offensive,hatebase,hate,https://hatebase.org/search_results/religion_id%3D14%7Clanguage_id%3Deng,religion,judaism,Judaism,Showing 1 - 38 of 38 results,selected_english_filters,[hate] heeb (variant of hebe): Hatebase entry. Target category: Judaism. Filter group: religion. Language: English. Offensiveness: Highly offensive. Sightings: 452 sightings.
heebs (plural of heeb),English,"1,818 sightings",Highly offensive,hatebase,hate,https://hatebase.org/search_results/religion_id%3D14%7Clanguage_id%3Deng,religion,judaism,Judaism,Showing 1 - 38 of 38 results,selected_english_filters,"[hate] heebs (plural of heeb): Hatebase entry. Target category: Judaism. Filter group: religion. Language: English. Offensiveness: Highly offensive. Sightings: 1,818 sightings."
holohoax,English,450 sightings,Extremely offensive,hatebase,hate,https://hatebase.org/search_results/religion_id%3D14%7Clanguage_id%3Deng,religion,judaism,Judaism,Showing 1 - 38 of 38 results,selected_english_filters,[hate] holohoax: Hatebase entry. Target category: Judaism. Filter group: religion. Language: English. Offensiveness: Extremely offensive. Sightings: 450 sightings.
hooknose,English,216 sightings,-,hatebase,hate,https://hatebase.org/search_results/religion_id%3D14%7Clanguage_id%3Deng,religion,judaism,Judaism,Showing 1 - 38 of 38 results,selected_english_filters,[hate] hooknose: Hatebase entry. Target category: Judaism. Filter group: religion. Language: English. Offensiveness: -. Sightings: 216 sightings.
hooknosed (variant of hooknose),English,297 sightings,-,hatebase,hate,https://hatebase.org/search_results/religion_id%3D14%7Clanguage_id%3Deng,religion,judaism,Judaism,Showing 1 - 38 of 38 results,selected_english_filters,[hate] hooknosed (variant of hooknose): Hatebase entry. Target category: Judaism. Filter group: religion. Language: English. Offensiveness: -. Sightings: 297 sightings.
hooknoses (plural of hooknose),English,31 sightings,-,hatebase,hate,https://hatebase.org/search_results/religion_id%3D14%7Clanguage_id%3Deng,religion,judaism,Judaism,Showing 1 - 38 of 38 results,selected_english_filters,[hate] hooknoses (plural of hooknose): Hatebase entry. Target category: Judaism. Filter group: religion. Language: English. Offensiveness: -. Sightings: 31 sightings.
hymie,English,691 sightings,Highly offensive,hatebase,hate,https://hatebase.org/search_results/religion_id%3D14%7Clanguage_id%3Deng,religion,judaism,Judaism,Showing 1 - 38 of 38 results,selected_english_filters,[hate] hymie: Hatebase entry. Target category: Judaism. Filter group: religion. Language: English. Offensiveness: Highly offensive. Sightings: 691 sightings.
hymies (plural of hymie),English,35 sightings,Moderately offensive,hatebase,hate,https://hatebase.org/search_results/religion_id%3D14%7Clanguage_id%3Deng,religion,judaism,Judaism,Showing 1 - 38 of 38 results,selected_english_filters,[hate] hymies (plural of hymie): Hatebase entry. Target category: Judaism. Filter group: religion. Language: English. Offensiveness: Moderately offensive. Sightings: 35 sightings.
jew-fucked (variant of jew-fucker),English,-,Extremely offensive,hatebase,hate,https://hatebase.org/search_results/religion_id%3D14%7Clanguage_id%3Deng,religion,judaism,Judaism,Showing 1 - 38 of 38 results,selected_english_filters,[hate] jew-fucked (variant of jew-fucker): Hatebase entry. Target category: Judaism. Filter group: religion. Language: English. Offensiveness: Extremely offensive. Sightings: -.
jew-fucker,English,5 sightings,Extremely offensive,hatebase,hate,https://hatebase.org/search_results/religion_id%3D14%7Clanguage_id%3Deng,religion,judaism,Judaism,Showing 1 - 38 of 38 results,selected_english_filters,[hate] jew-fucker: Hatebase entry. Target category: Judaism. Filter group: religion. Language: English. Offensiveness: Extremely offensive. Sightings: 5 sightings.
jewbag,English,116 sightings,Extremely offensive,hatebase,hate,https://hatebase.org/search_results/religion_id%3D14%7Clanguage_id%3Deng,religion,judaism,Judaism,Showing 1 - 38 of 38 results,selected_english_filters,[hate] jewbag: Hatebase entry. Target category: Judaism. Filter group: religion. Language: English. Offensiveness: Extremely offensive. Sightings: 116 sightings.
jewbagg (variant of jewbag),English,-,Extremely offensive,hatebase,hate,https://hatebase.org/search_results/religion_id%3D14%7Clanguage_id%3Deng,religion,judaism,Judaism,Showing 1 - 38 of 38 results,selected_english_filters,[hate] jewbagg (variant of jewbag): Hatebase entry. Target category: Judaism. Filter group: religion. Language: English. Offensiveness: Extremely offensive. Sightings: -.
jewtard,English,42 sightings,Extremely offensive,hatebase,hate,https://hatebase.org/search_results/religion_id%3D14%7Clanguage_id%3Deng,religion,judaism,Judaism,Showing 1 - 38 of 38 results,selected_english_filters,[hate] jewtard: Hatebase entry. Target category: Judaism. Filter group: religion. Language: English. Offensiveness: Extremely offensive. Sightings: 42 sightings.
jewtarded (variant of jewtard),English,10 sightings,Extremely offensive,hatebase,hate,https://hatebase.org/search_results/religion_id%3D14%7Clanguage_id%3Deng,religion,judaism,Judaism,Showing 1 - 38 of 38 results,selected_english_filters,[hate] jewtarded (variant of jewtard): Hatebase entry. Target category: Judaism. Filter group: religion. Language: English. Offensiveness: Extremely offensive. Sightings: 10 sightings.
khazar,English,341 sightings,Extremely offensive,hatebase,hate,https://hatebase.org/search_results/religion_id%3D14%7Clanguage_id%3Deng,religion,judaism,Judaism,Showing 1 - 38 of 38 results,selected_english_filters,[hate] khazar: Hatebase entry. Target category: Judaism. Filter group: religion. Language: English. Offensiveness: Extremely offensive. Sightings: 341 sightings.
khazars (plural of khazar),English,92 sightings,-,hatebase,hate,https://hatebase.org/search_results/religion_id%3D14%7Clanguage_id%3Deng,religion,judaism,Judaism,Showing 1 - 38 of 38 results,selected_english_filters,[hate] khazars (plural of khazar): Hatebase entry. Target category: Judaism. Filter group: religion. Language: English. Offensiveness: -. Sightings: 92 sightings.
kike,English,100 sightings,Extremely offensive,hatebase,hate,https://hatebase.org/search_results/religion_id%3D14%7Clanguage_id%3Deng,religion,judaism,Judaism,Showing 1 - 38 of 38 results,selected_english_filters,[hate] kike: Hatebase entry. Target category: Judaism. Filter group: religion. Language: English. Offensiveness: Extremely offensive. Sightings: 100 sightings.
kikesberg (variant of kike),English,2 sightings,Extremely offensive,hatebase,hate,https://hatebase.org/search_results/religion_id%3D14%7Clanguage_id%3Deng,religion,judaism,Judaism,Showing 1 - 38 of 38 results,selected_english_filters,[hate] kikesberg (variant of kike): Hatebase entry. Target category: Judaism. Filter group: religion. Language: English. Offensiveness: Extremely offensive. Sightings: 2 sightings.
oven dodger,English,190 sightings,Highly offensive,hatebase,hate,https://hatebase.org/search_results/religion_id%3D14%7Clanguage_id%3Deng,religion,judaism,Judaism,Showing 1 - 38 of 38 results,selected_english_filters,[hate] oven dodger: Hatebase entry. Target category: Judaism. Filter group: religion. Language: English. Offensiveness: Highly offensive. Sightings: 190 sightings.
oven dodgers (plural of oven dodger),English,336 sightings,-,hatebase,hate,https://hatebase.org/search_results/religion_id%3D14%7Clanguage_id%3Deng,religion,judaism,Judaism,Showing 1 - 38 of 38 results,selected_english_filters,[hate] oven dodgers (plural of oven dodger): Hatebase entry. Target category: Judaism. Filter group: religion. Language: English. Offensiveness: -. Sightings: 336 sightings.
shekelnose,English,-,Extremely offensive,hatebase,hate,https://hatebase.org/search_results/religion_id%3D14%7Clanguage_id%3Deng,religion,judaism,Judaism,Showing 1 - 38 of 38 results,selected_english_filters,[hate] shekelnose: Hatebase entry. Target category: Judaism. Filter group: religion. Language: English. Offensiveness: Extremely offensive. Sightings: -.
Zio,English,64 sightings,Highly offensive,hatebase,hate,https://hatebase.org/search_results/religion_id%3D14%7Clanguage_id%3Deng,religion,judaism,Judaism,Showing 1 - 38 of 38 results,selected_english_filters,[hate] Zio: Hatebase entry. Target category: Judaism. Filter group: religion. Language: English. Offensiveness: Highly offensive. Sightings: 64 sightings.
ziojew,English,70 sightings,Extremely offensive,hatebase,hate,https://hatebase.org/search_results/religion_id%3D14%7Clanguage_id%3Deng,religion,judaism,Judaism,Showing 1 - 38 of 38 results,selected_english_filters,[hate] ziojew: Hatebase entry. Target category: Judaism. Filter group: religion. Language: English. Offensiveness: Extremely offensive. Sightings: 70 sightings.
ziojews (plural of ziojew),English,51 sightings,-,hatebase,hate,https://hatebase.org/search_results/religion_id%3D14%7Clanguage_id%3Deng,religion,judaism,Judaism,Showing 1 - 38 of 38 results,selected_english_filters,[hate] ziojews (plural of ziojew): Hatebase entry. Target category: Judaism. Filter group: religion. Language: English. Offensiveness: -. Sightings: 51 sightings.
Zionazi,English,"2,944 sightings",Extremely offensive,hatebase,hate,https://hatebase.org/search_results/religion_id%3D14%7Clanguage_id%3Deng,religion,judaism,Judaism,Showing 1 - 38 of 38 results,selected_english_filters,"[hate] Zionazi: Hatebase entry. Target category: Judaism. Filter group: religion. Language: English. Offensiveness: Extremely offensive. Sightings: 2,944 sightings."
Zionazis (plural of Zionazi),English,"1,171 sightings",-,hatebase,hate,https://hatebase.org/search_results/religion_id%3D14%7Clanguage_id%3Deng,religion,judaism,Judaism,Showing 1 - 38 of 38 results,selected_english_filters,"[hate] Zionazis (plural of Zionazi): Hatebase entry. Target category: Judaism. Filter group: religion. Language: English. Offensiveness: -. Sightings: 1,171 sightings."
